Pop order,Source (Lab),Order,Species code,Watershed,River,Sampling location,Code,Original IND,Modified IND,Drainage code,Drainage by year code,Year,Ap037,,Aa046,,Aa074,,Aa082,,Ap071,,Ap038,,Ap010,,Ap047,,Aa070,,Ap070,,Aa091,,Aa093,,Ap033,,No. Loci genotyped,Notes
7,Palkovacs,155,Blueback_0155,East Machias River,,,EMAC,BEMME1,BEMME_001,EMAC_001,10EMAC_001,2010,311,311,228,228,238,226,184,184,,,234,226,233,233,224,220,254,254,,,249,241,,,205,205,12,
7,Palkovacs,156,Blueback_0156,East Machias River,,,EMAC,BEMME2,BEMME_002,EMAC_002,10EMAC_002,2010,349,299,232,220,246,234,184,168,211,203,226,226,237,233,214,214,254,254,249,249,249,249,249,225,209,205,15,
7,Palkovacs,157,Blueback_0157,East Machias River,,,EMAC,BEMME3,BEMME_003,EMAC_003,10EMAC_003,2010,311,311,236,228,238,234,184,168,,,234,226,233,233,220,214,254,254,,,249,249,,,205,205,12,
7,Palkovacs,158,Blueback_0158,East Machias River,,,EMAC,BEMME4,BEMME_004,EMAC_004,10EMAC_004,2010,349,349,236,232,234,234,184,168,231,227,226,226,233,233,220,214,254,250,205,205,249,249,,,205,205,14,
7,Palkovacs,159,Blueback_0159,East Machias River,,,EMAC,BEMME5,BEMME_005,EMAC_005,10EMAC_005,2010,349,311,228,228,234,230,168,168,227,211,226,226,233,233,220,214,254,254,241,241,253,241,,,205,205,14,
7,Palkovacs,160,Blueback_0160,East Machias River,,,EMAC,BEMME6,BEMME_006,EMAC_006,10EMAC_006,2010,311,311,236,228,238,234,184,168,,,226,226,233,233,220,214,254,254,249,249,249,249,,,205,205,13,
7,Palkovacs,162,Blueback_0162,East Machias River,,,EMAC,BEMME8,BEMME_008,EMAC_008,10EMAC_008,2010,349,349,228,228,234,230,184,184,215,211,226,226,233,233,220,214,250,246,,,249,249,237,225,205,205,14,
7,Palkovacs,163,Blueback_0163,East Machias River,,,EMAC,BEMME9,BEMME_009,EMAC_009,10EMAC_009,2010,311,311,228,220,238,238,184,184,235,203,226,226,233,233,214,214,254,254,249,249,249,249,233,229,201,197,15,
7,Palkovacs,164,Blueback_0164,East Machias River,,,EMAC,BEMME10,BEMME_010,EMAC_010,10EMAC_010,2010,311,311,228,228,242,234,168,168,223,203,226,226,233,229,224,214,254,254,245,241,245,241,237,225,209,197,15,
7,Palkovacs,165,Blueback_0165,East Machias River,,,EMAC,BEMME11,BEMME_011,EMAC_011,10EMAC_011,2010,307,307,228,228,238,234,184,168,231,215,226,226,233,233,214,214,254,254,249,249,249,245,233,233,205,205,15,
