## population PofZ values from gsi_sim.  NumBurnIn= 20000  NumSweeps= 50000  NumValuesInAverage= 49999
IndivName	ValueType	EMAC	STGEO	EX	MYST	MON	GIL	CON	QUIN	HUD	DEL	NAN	RAP	JAM	CHOW	ROA	NEU	CF	SAN	SAV	ALT	SJR
SMAST2412	Posterior.Mean	0.44729512	0.00174543	0.00619960	0.06262988	0.00300005	0.00967585	0.03113058	0.40844992	0.02346864	0.00018769	0.00247668	0.00055684	0.00272012	0.00002643	0.00016916	0.00018643	0.00000027	0.00000034	0.00008033	0.00000063	0.00000000
SMAST2412	SD	0.16243608	0.00822436	0.00450015	0.15056463	0.00548096	0.01674603	0.08981796	0.19285312	0.04111211	0.00046751	0.00858653	0.00265289	0.00911716	0.00012601	0.00055528	0.00088638	0.00000119	0.00000157	0.00024419	0.00000217	0.00000000
SMAST2413	Posterior.Mean	0.02299267	0.00072811	0.00693608	0.07975079	0.00481838	0.13527470	0.05267332	0.50463147	0.10838833	0.01563026	0.03070003	0.00556888	0.01382975	0.00519111	0.00569763	0.00109441	0.00012617	0.00000952	0.00480722	0.00112485	0.00002633
SMAST2413	SD	0.01598298	0.00383567	0.00546093	0.18523023	0.00930347	0.19125341	0.14022814	0.26715680	0.16564851	0.03780190	0.09172900	0.02505696	0.04484826	0.02368537	0.01929167	0.00529246	0.00058355	0.00004668	0.01498169	0.00395872	0.00013058
SMAST2414	Posterior.Mean	0.00589235	0.00032081	0.57379288	0.00075631	0.00734579	0.00003023	0.00033125	0.08315129	0.00016322	0.24682354	0.03213614	0.00007547	0.00168240	0.00017236	0.00094703	0.00038587	0.03558970	0.00517329	0.00252543	0.00173493	0.00096970
SMAST2414	SD	0.00609211	0.00192947	0.31843432	0.00285606	0.01631318	0.00006645	0.00145959	0.08914373	0.00037267	0.36020502	0.09951083	0.00041709	0.00657438	0.00102416	0.00380717	0.00227719	0.11790590	0.02548656	0.00878711	0.00722050	0.00534727
SMAST2415	Posterior.Mean	0.98433606	0.00012451	0.00018848	0.00013092	0.00000465	0.00059831	0.00030780	0.01191911	0.00091656	0.00037765	0.00052563	0.00016665	0.00008615	0.00002668	0.00006984	0.00000571	0.00008069	0.00000061	0.00010211	0.00002863	0.00000325
SMAST2415	SD	0.01275269	0.00067702	0.00018163	0.00047037	0.00000980	0.00114758	0.00113138	0.01124473	0.00188775	0.00101508	0.00200547	0.00086837	0.00030985	0.00012983	0.00026367	0.00002958	0.00037695	0.00000307	0.00034018	0.00010515	0.00001728
SMAST2416	Posterior.Mean	0.01219503	0.00000269	0.00234785	0.03855559	0.00932980	0.00069415	0.00841220	0.72062010	0.04279402	0.00142477	0.00475453	0.00063428	0.00217896	0.00064360	0.00094856	0.00145415	0.00065766	0.00184927	0.10759834	0.04285440	0.00005007
SMAST2416	SD	0.01455519	0.00002436	0.00288464	0.11200579	0.02086166	0.00196943	0.03965336	0.27831584	0.09037528	0.00452816	0.02074721	0.00358431	0.01014342	0.00406567	0.00423242	0.00805124	0.00381115	0.00976309	0.22767612	0.12206780	0.00028609
SMAST2417	Posterior.Mean	0.00282391	0.00010785	0.00000017	0.01480677	0.00060065	0.02095067	0.02638048	0.92842364	0.00223168	0.00095103	0.00060305	0.00002468	0.00003997	0.00024009	0.00007622	0.00004776	0.00053690	0.00008582	0.00056811	0.00050055	0.00000000
SMAST2417	SD	0.00882685	0.00333077	0.00000055	0.07213314	0.00370225	0.07636580	0.12077453	0.19774177	0.01252092	0.00581551	0.00463636	0.00047029	0.00037611	0.00255280	0.00065669	0.00045119	0.00454800	0.00097161	0.00426911	0.00452194	0.00000000
SMAST2418	Posterior.Mean	0.00498393	0.00023347	0.00301068	0.09322534	0.21002477	0.37906155	0.00803146	0.29286098	0.00630174	0.00001656	0.00001323	0.00100352	0.00005620	0.00022760	0.00003844	0.00064552	0.00019166	0.00000048	0.00001904	0.00005384	0.00000000
SMAST2418	SD	0.00586337	0.00175902	0.00387014	0.22130352	0.29213604	0.41485545	0.03582351	0.29151630	0.01655929	0.00005884	0.00006175	0.00572485	0.00026954	0.00155887	0.00017391	0.00384651	0.00118626	0.00000340	0.00007969	0.00026141	0.00000002
SMAST2419	Posterior.Mean	0.94920135	0.00028322	0.00267279	0.00000756	0.00000432	0.00171106	0.00728357	0.03633186	0.00098942	0.00090244	0.00020348	0.00023222	0.00009277	0.00000308	0.00002061	0.00000308	0.00004460	0.00000004	0.00000402	0.00000851	0.00000000
SMAST2419	SD	0.03887811	0.00149379	0.00238819	0.00002646	0.00000879	0.00317352	0.02378984	0.03097664	0.00197314	0.00236509	0.00076812	0.00116420	0.00032799	0.00001483	0.00007474	0.00001563	0.00020508	0.00000020	0.00001302	0.00003062	0.00000000
SMAST2420	Posterior.Mean	0.99464528	0.00109352	0.00020578	0.00000266	0.00000004	0.00000252	0.00014383	0.00298374	0.00066297	0.00002137	0.00002779	0.00001024	0.00002142	0.00000732	0.00003037	0.00000026	0.00000791	0.00000076	0.00011110	0.00002110	0.00000001
SMAST2420	SD	0.00703112	0.00564691	0.00020600	0.00000969	0.00000008	0.00000490	0.00053347	0.00299040	0.00138479	0.00005813	0.00010809	0.00005439	0.00007784	0.00003583	0.00011730	0.00000134	0.00003724	0.00000389	0.00037374	0.00007789	0.00000004
SMAST2421	Posterior.Mean	0.00154009	0.00008691	0.69060071	0.02054370	0.00032260	0.00435596	0.00324099	0.27093598	0.00082211	0.00003037	0.00000124	0.00008864	0.00000327	0.00638947	0.00001044	0.00086359	0.00001661	0.00001176	0.00000795	0.00011745	0.00001018
SMAST2421	SD	0.00124587	0.00045119	0.18445535	0.06073679	0.00065124	0.00834834	0.01246208	0.17773404	0.00162496	0.00008504	0.00000493	0.00044165	0.00001156	0.02789875	0.00003657	0.00452390	0.00008637	0.00006222	0.00002538	0.00043844	0.00005533
SMAST2422	Posterior.Mean	0.87699939	0.00246324	0.11157302	0.00000020	0.00000001	0.00000033	0.00517540	0.00341250	0.00025735	0.00001748	0.00000148	0.00000023	0.00005214	0.00000123	0.00001130	0.00000001	0.00002168	0.00000001	0.00000082	0.00001220	0.00000000
SMAST2422	SD	0.08380855	0.01153546	0.07922828	0.00000067	0.00000002	0.00000059	0.01658701	0.00280959	0.00048485	0.00004503	0.00000530	0.00000113	0.00017933	0.00000578	0.00003909	0.00000006	0.00009850	0.00000003	0.00000255	0.00004261	0.00000001
SMAST2423	Posterior.Mean	0.00057346	0.00001693	0.00051254	0.02965423	0.41696516	0.34535157	0.00381402	0.18946846	0.01196918	0.00004707	0.00051237	0.00000862	0.00013955	0.00075855	0.00004678	0.00012282	0.00003400	0.00000061	0.00000253	0.00000149	0.00000005
SMAST2423	SD	0.00098253	0.00016800	0.00093117	0.10976774	0.44247766	0.41093603	0.02364453	0.28173716	0.03832037	0.00023922	0.00310485	0.00006553	0.00085060	0.00630265	0.00029140	0.00097576	0.00027617	0.00000597	0.00001366	0.00000970	0.00000045
SMAST2424	Posterior.Mean	0.39085702	0.00010415	0.02208659	0.00097639	0.00261395	0.00163632	0.01273819	0.17352332	0.19418635	0.02716055	0.03078454	0.00434834	0.03057610	0.00167585	0.02254600	0.00388488	0.00010676	0.00002432	0.07396917	0.00619711	0.00000410
SMAST2424	SD	0.18114376	0.00051591	0.01679992	0.00317346	0.00492815	0.00294338	0.03947417	0.12548113	0.25603700	0.06227915	0.09173670	0.01997711	0.08724670	0.00772862	0.06699648	0.01801525	0.00048708	0.00011535	0.16833395	0.02064900	0.00002056
SMAST2425	Posterior.Mean	0.26454614	0.00027550	0.14595560	0.00239206	0.00680307	0.02438825	0.02695410	0.33984104	0.04815672	0.04806604	0.03985083	0.00717015	0.01033492	0.00325003	0.01506691	0.00322637	0.00111227	0.00033973	0.00934992	0.00224493	0.00067542
SMAST2425	SD	0.10898118	0.00132988	0.08359547	0.00735014	0.01184494	0.03924750	0.07669247	0.16763236	0.07765142	0.09848621	0.11016259	0.02945999	0.03194522	0.01399483	0.04449225	0.01431601	0.00472583	0.00156279	0.02620088	0.00736729	0.00309625
SMAST2426	Posterior.Mean	0.00146539	0.00037841	0.99404342	0.00035424	0.00030476	0.00000047	0.00216166	0.00123863	0.00003928	0.00000404	0.00000000	0.00000150	0.00000000	0.00000074	0.00000003	0.00000140	0.00000563	0.00000003	0.00000003	0.00000005	0.00000029
SMAST2426	SD	0.01527584	0.01036895	0.05037438	0.00837691	0.00514011	0.00000938	0.02673402	0.01360728	0.00055588	0.00007437	0.00000004	0.00007040	0.00000011	0.00003869	0.00000111	0.00009715	0.00027888	0.00000098	0.00000082	0.00000143	0.00001554
SMAST2427	Posterior.Mean	0.12919530	0.00749884	0.07428690	0.00156107	0.00176027	0.00020274	0.08028396	0.61821942	0.00406099	0.01067748	0.02608914	0.00048655	0.03775133	0.00003988	0.00767850	0.00020024	0.00000618	0.00000000	0.00000118	0.00000002	0.00000000
SMAST2427	SD	0.08202873	0.03274674	0.05835610	0.00570142	0.00332535	0.00039174	0.19634037	0.23169084	0.00817121	0.02646132	0.07890919	0.00253531	0.10312143	0.00019961	0.02475804	0.00098768	0.00002914	0.00000001	0.00000392	0.00000006	0.00000000
SMAST2428	Posterior.Mean	0.00034797	0.00001179	0.25463359	0.00052325	0.00000680	0.04779375	0.01441680	0.66758419	0.01193690	0.00090346	0.00074932	0.00001755	0.00002960	0.00011085	0.00069929	0.00003716	0.00009687	0.00000001	0.00004739	0.00005342	0.00000004
SMAST2428	SD	0.00027467	0.00006924	0.16446683	0.00206499	0.00001431	0.08202179	0.05209356	0.22099725	0.02379112	0.00247028	0.00295988	0.00009563	0.00010859	0.00057650	0.00248739	0.00018660	0.00045650	0.00000008	0.00015492	0.00021171	0.00000021
SMAST2429	Posterior.Mean	0.03708988	0.00045581	0.59401725	0.00000931	0.00019311	0.00012882	0.05327467	0.16393225	0.00931556	0.05201468	0.00631199	0.00037414	0.00969760	0.00017759	0.06788058	0.00511103	0.00000657	0.00000000	0.00000517	0.00000398	0.00000002
SMAST2429	SD	0.02610049	0.00238903	0.21523127	0.00003095	0.00037458	0.00023441	0.13604646	0.12055539	0.01718512	0.11076324	0.02244447	0.00181918	0.03106001	0.00087522	0.16386163	0.02305292	0.00003397	0.00000001	0.00001657	0.00001436	0.00000012
SMAST2430	Posterior.Mean	0.10636605	0.00959165	0.43127758	0.00610614	0.00001225	0.00004427	0.02148839	0.30236220	0.00523904	0.01726409	0.02784923	0.00388265	0.00324517	0.01447494	0.00427667	0.00728991	0.00367407	0.00914045	0.00694802	0.01946106	0.00000618
SMAST2430	SD	0.05685464	0.03828097	0.17373063	0.01849184	0.00002204	0.00007599	0.06290990	0.16171162	0.00933062	0.03979898	0.08129879	0.01671484	0.01055461	0.05457570	0.01353325	0.03040669	0.01533393	0.03659695	0.01975494	0.05733548	0.00002915
SMAST2431	Posterior.Mean	0.95681547	0.00172763	0.00145847	0.00016818	0.00000243	0.00099702	0.00284158	0.03239176	0.00001259	0.00014769	0.00065160	0.00020994	0.00086886	0.00015873	0.00141053	0.00006363	0.00005004	0.00000015	0.00002064	0.00000307	0.00000000
SMAST2431	SD	0.03282172	0.00851332	0.00132322	0.00058864	0.00000498	0.00186808	0.00987439	0.02793058	0.00002542	0.00039153	0.00244673	0.00106549	0.00304699	0.00076280	0.00500748	0.00032371	0.00023076	0.00000076	0.00006740	0.00001113	0.00000000
SMAST2434	Posterior.Mean	0.01324870	0.00001816	0.00275219	0.00000365	0.00002268	0.00001789	0.00849951	0.26395535	0.15530716	0.05882053	0.06615777	0.02367864	0.11281133	0.00045283	0.08781424	0.00614859	0.00274558	0.00001391	0.09519557	0.10233571	0.00000003
SMAST2434	SD	0.01377718	0.00010863	0.00307977	0.00001513	0.00005286	0.00004221	0.03283466	0.24274150	0.23809341	0.13268402	0.17706624	0.09001585	0.24585320	0.00256691	0.20915392	0.03084330	0.01380527	0.00007677	0.21385244	0.23015670	0.00000015
SMAST2435	Posterior.Mean	0.16519920	0.00014941	0.81417715	0.00003956	0.00015348	0.00000334	0.00182024	0.01070721	0.00067128	0.00247913	0.00172027	0.00002823	0.00016994	0.00025770	0.00110197	0.00131846	0.00000084	0.00000003	0.00000248	0.00000002	0.00000007
SMAST2435	SD	0.12725233	0.00083768	0.14101465	0.00015215	0.00033526	0.00000677	0.00706760	0.01128482	0.00137104	0.00721166	0.00666614	0.00014379	0.00063466	0.00134301	0.00415286	0.00702342	0.00000551	0.00000019	0.00000839	0.00000009	0.00000042
SMAST2436	Posterior.Mean	0.00870994	0.00249066	0.00027660	0.00051732	0.02705191	0.03600017	0.06013105	0.70219917	0.06133270	0.02380941	0.00675605	0.00171852	0.01949211	0.00909972	0.00628758	0.00366781	0.00867495	0.00189324	0.00191445	0.01797662	0.00000000
SMAST2436	SD	0.00684783	0.01258616	0.00025129	0.00209774	0.04843752	0.06525860	0.16083256	0.23978199	0.10643362	0.05600779	0.02524888	0.00900961	0.06122506	0.03859243	0.02146418	0.01710942	0.03446182	0.00871894	0.00673574	0.05637174	0.00000000
SMAST2437	Posterior.Mean	0.29296321	0.00142131	0.52548933	0.01541474	0.00463706	0.00481144	0.01167676	0.11452421	0.00386699	0.00099914	0.00258498	0.00015072	0.00106082	0.00111113	0.00078298	0.00076809	0.00335394	0.00258031	0.00405811	0.00503806	0.00270669
SMAST2437	SD	0.13270618	0.00659580	0.17277048	0.04404673	0.00837516	0.00818401	0.03501252	0.07670006	0.00683818	0.00248616	0.00885472	0.00069471	0.00348639	0.00507100	0.00254948	0.00362937	0.01413884	0.01170213	0.01169067	0.01627190	0.01211936
SMAST2438	Posterior.Mean	0.16945708	0.01252988	0.24723316	0.01149436	0.00010087	0.00005667	0.10016237	0.45078640	0.00003652	0.00037401	0.00043182	0.00000078	0.00138801	0.00042145	0.00013760	0.00003731	0.00014062	0.00075280	0.00005821	0.00439994	0.00000015
SMAST2438	SD	0.09209673	0.04895089	0.14076549	0.03481994	0.00018670	0.00010120	0.22315346	0.20600124	0.00006812	0.00094462	0.00155101	0.00000379	0.00472779	0.00202632	0.00045425	0.00017858	0.00062940	0.00357821	0.00017933	0.01451126	0.00000072
SMAST2439	Posterior.Mean	0.12209534	0.00003058	0.00168934	0.01123332	0.00235484	0.02305851	0.00296788	0.31343443	0.39918426	0.01554955	0.04055164	0.00919237	0.01641466	0.00140405	0.03551732	0.00175898	0.00000132	0.00000004	0.00352562	0.00003595	0.00000000
SMAST2439	SD	0.11476546	0.00017374	0.00194375	0.04087661	0.00579773	0.04966854	0.01470173	0.27016308	0.42080119	0.04376258	0.12443757	0.04298166	0.05736891	0.00791530	0.10676466	0.01003905	0.00000717	0.00000022	0.01312259	0.00015693	0.00000002
SMAST2440	Posterior.Mean	0.08930734	0.00075931	0.01275021	0.00000624	0.00002341	0.00012168	0.05610835	0.82277102	0.00896053	0.00730396	0.00115495	0.00000987	0.00045813	0.00001725	0.00024059	0.00000666	0.00000014	0.00000002	0.00000026	0.00000006	0.00000000
SMAST2440	SD	0.09007389	0.00530718	0.01635277	0.00003307	0.00005400	0.00033538	0.16526997	0.21530934	0.02210652	0.02108737	0.00545895	0.00007106	0.00215720	0.00010658	0.00102456	0.00003847	0.00000082	0.00000010	0.00000113	0.00000030	0.00000000
SMAST2441	Posterior.Mean	0.21214208	0.00058300	0.07500347	0.00089270	0.00025105	0.00058894	0.03912189	0.44643324	0.11696771	0.00851103	0.02739128	0.01668916	0.01539495	0.00901874	0.00471862	0.00443130	0.00087057	0.00039374	0.01921367	0.00120480	0.00017807
SMAST2441	SD	0.10317020	0.00279323	0.04818737	0.00287034	0.00045078	0.00102781	0.10779216	0.20638232	0.17028077	0.02052243	0.08145088	0.06174496	0.04720977	0.03653116	0.01523154	0.01955513	0.00377342	0.00178589	0.05250340	0.00407543	0.00083704
