Pop order,Source (Lab),Order,Species code,Watershed,River,Sampling location,Code,Original IND,Modified IND,Drainage code,Drainage by year code,Year,Aa046,,Aa074,,Ap058,,Ap071,,Ap038,,Ap010,,Aa081,,Aa070,,Aa091,,Aa093,,Ap033,,No. Loci genotyped,Notes
23,Palkovacs,1525,Alewife_1549,EastMachias River,EastMachias River,,EMAC,AEMME1,AEMME_001,EMAC_001,10EMAC_001,2010,220,212,234,226,257,257,215,203,230,230,247,247,165,153,266,266,253,245,209,209,223,223,15,
23,Palkovacs,1526,Alewife_1550,EastMachias River,EastMachias River,,EMAC,AEMME2,AEMME_002,EMAC_002,10EMAC_002,2010,220,212,234,234,261,257,203,203,,,247,243,153,153,266,266,245,245,,,,,10,
23,Palkovacs,1527,Alewife_1551,EastMachias River,EastMachias River,,EMAC,AEMME3,AEMME_003,EMAC_003,10EMAC_003,2010,220,212,238,230,261,257,203,203,246,230,243,235,153,153,266,266,245,245,221,209,219,211,13,
23,Palkovacs,1528,Alewife_1552,EastMachias River,EastMachias River,,EMAC,AEMME5,AEMME_005,EMAC_005,10EMAC_005,2010,220,212,242,230,257,257,203,203,230,230,247,243,165,161,266,266,245,233,221,209,219,203,15,
23,Palkovacs,1529,Alewife_1553,EastMachias River,EastMachias River,,EMAC,AEMME6,AEMME_006,EMAC_006,10EMAC_006,2010,212,212,234,230,257,257,215,211,230,230,243,243,165,153,266,266,249,245,209,209,219,203,15,
23,Palkovacs,1530,Alewife_1554,EastMachias River,EastMachias River,,EMAC,AEMME7,AEMME_007,EMAC_007,10EMAC_007,2010,220,220,234,230,261,257,203,203,230,230,243,243,165,161,266,266,249,245,209,209,223,219,15,
23,Palkovacs,1531,Alewife_1555,EastMachias River,EastMachias River,,EMAC,AEMME8,AEMME_008,EMAC_008,10EMAC_008,2010,212,212,226,214,261,261,215,203,230,226,247,243,169,153,266,250,249,245,209,209,203,203,15,
23,Palkovacs,1532,Alewife_1556,EastMachias River,EastMachias River,,EMAC,AEMME9,AEMME_009,EMAC_009,10EMAC_009,2010,220,220,234,226,261,257,203,203,230,230,243,235,169,161,266,266,253,245,221,209,223,223,15,
23,Palkovacs,1533,Alewife_1557,EastMachias River,EastMachias River,,EMAC,AEMME10,AEMME_010,EMAC_010,10EMAC_010,2010,212,212,234,226,257,257,211,203,230,230,243,243,161,153,266,266,245,241,221,209,215,211,15,
23,Palkovacs,1534,Alewife_1558,EastMachias River,EastMachias River,,EMAC,AEMME11,AEMME_011,EMAC_011,10EMAC_011,2010,220,212,238,230,261,257,203,203,230,230,243,243,165,161,266,266,253,249,221,209,219,219,15,
23,Palkovacs,1535,Alewife_1559,EastMachias River,EastMachias River,,EMAC,AEMME13,AEMME_013,EMAC_013,10EMAC_013,2010,220,212,230,230,257,257,203,203,230,230,243,243,165,153,266,210,249,245,221,221,219,215,14,
23,Palkovacs,1536,Alewife_1560,EastMachias River,EastMachias River,,EMAC,AEMME14,AEMME_014,EMAC_014,10EMAC_014,2010,220,212,234,226,261,257,203,203,230,226,243,243,173,165,266,266,245,245,225,209,219,219,15,
23,Palkovacs,1537,Alewife_1561,EastMachias River,EastMachias River,,EMAC,AEMME15,AEMME_015,EMAC_015,10EMAC_015,2010,212,212,238,234,261,257,211,203,230,226,247,243,165,153,214,210,249,245,221,209,219,219,15,
23,Palkovacs,1539,Alewife_1563,EastMachias River,EastMachias River,,EMAC,AEMME17,AEMME_017,EMAC_017,10EMAC_017,2010,220,212,234,226,257,257,215,203,230,230,243,243,165,153,266,266,245,241,221,209,223,219,15,
23,Palkovacs,1540,Alewife_1564,EastMachias River,EastMachias River,,EMAC,AEMME18,AEMME_018,EMAC_018,10EMAC_018,2010,220,212,234,234,261,257,,,230,230,243,243,153,153,266,266,249,245,,,223,219,11,
23,Palkovacs,1541,Alewife_1565,EastMachias River,EastMachias River,,EMAC,AEMME19,AEMME_019,EMAC_019,10EMAC_019,2010,220,220,234,230,257,257,215,203,230,230,243,235,161,153,266,266,249,249,209,209,219,211,15,
23,Palkovacs,1542,Alewife_1566,EastMachias River,EastMachias River,,EMAC,AEMME20,AEMME_020,EMAC_020,10EMAC_020,2010,220,212,230,226,261,261,211,203,230,230,243,243,153,153,266,266,245,245,209,209,219,215,15,
23,Palkovacs,1543,Alewife_1567,EastMachias River,EastMachias River,,EMAC,AEMME21,AEMME_021,EMAC_021,10EMAC_021,2010,220,212,234,206,261,257,203,203,230,230,243,243,161,153,266,266,233,233,209,209,223,203,14,
23,Palkovacs,1544,Alewife_1568,EastMachias River,EastMachias River,,EMAC,AEMME22,AEMME_022,EMAC_022,10EMAC_022,2010,220,220,234,230,257,257,203,203,246,230,243,231,161,153,266,250,249,245,221,209,223,219,15,
23,Palkovacs,1546,Alewife_1570,EastMachias River,EastMachias River,,EMAC,AEMME24,AEMME_024,EMAC_024,10EMAC_024,2010,220,212,230,226,257,257,211,211,246,230,243,243,153,145,266,266,245,241,221,221,223,215,15,
23,Palkovacs,1547,Alewife_1571,EastMachias River,EastMachias River,,EMAC,AEMME26,AEMME_026,EMAC_026,10EMAC_026,2010,,,,,,,215,203,230,230,251,243,165,153,266,266,245,233,221,209,219,219,10,
23,Palkovacs,1548,Alewife_1572,EastMachias River,EastMachias River,,EMAC,AEMME27,AEMME_027,EMAC_027,10EMAC_027,2010,212,212,234,230,257,257,211,211,230,230,243,243,169,161,266,250,249,249,221,221,215,203,15,
23,Palkovacs,1549,Alewife_1573,EastMachias River,EastMachias River,,EMAC,AEMME28,AEMME_028,EMAC_028,10EMAC_028,2010,220,212,234,218,261,257,211,203,230,226,243,243,165,161,262,258,241,241,221,221,215,211,14,
23,Palkovacs,1550,Alewife_1574,EastMachias River,EastMachias River,,EMAC,AEMME29,AEMME_029,EMAC_029,10EMAC_029,2010,220,212,226,214,257,257,211,203,234,230,247,243,169,153,266,266,245,233,209,209,211,203,15,
23,Palkovacs,1551,Alewife_1575,EastMachias River,EastMachias River,,EMAC,AEMME30,AEMME_030,EMAC_030,10EMAC_030,2010,,,,,,,211,203,230,230,259,243,165,153,266,266,253,249,221,209,223,223,10,
23,Palkovacs,1552,Alewife_1576,EastMachias River,EastMachias River,,EMAC,AEMME31,AEMME_031,EMAC_031,10EMAC_031,2010,220,212,230,206,261,257,203,203,230,226,243,243,165,153,266,266,249,245,221,209,223,215,15,
23,Palkovacs,1553,Alewife_1577,EastMachias River,EastMachias River,,EMAC,AEMME32,AEMME_032,EMAC_032,10EMAC_032,2010,220,220,238,230,261,257,203,203,230,230,247,223,153,153,266,266,245,245,221,209,211,203,15,
23,Palkovacs,1554,Alewife_1578,EastMachias River,EastMachias River,,EMAC,AEMME33,AEMME_033,EMAC_033,10EMAC_033,2010,220,212,234,230,257,257,203,203,230,230,247,235,161,153,266,266,241,241,221,221,223,219,14,
23,Palkovacs,1555,Alewife_1579,EastMachias River,EastMachias River,,EMAC,AEMME34,AEMME_034,EMAC_034,10EMAC_034,2010,220,212,230,226,261,257,215,203,230,230,247,243,153,153,266,266,249,245,209,209,223,203,15,
23,Palkovacs,1556,Alewife_1580,EastMachias River,EastMachias River,,EMAC,AEMME35,AEMME_035,EMAC_035,10EMAC_035,2010,220,220,230,230,257,257,211,203,230,230,255,243,169,153,270,266,249,245,221,221,215,203,15,
23,Palkovacs,1557,Alewife_1581,EastMachias River,EastMachias River,,EMAC,AEMME36,AEMME_036,EMAC_036,10EMAC_036,2010,220,212,238,230,257,257,215,211,230,230,243,243,161,161,266,266,253,245,221,209,219,215,15,
23,Palkovacs,1558,Alewife_1582,EastMachias River,EastMachias River,,EMAC,AEMME37,AEMME_037,EMAC_037,10EMAC_037,2010,220,212,238,226,261,257,207,203,230,230,243,243,165,153,266,266,249,245,221,209,223,219,15,
23,Palkovacs,1559,Alewife_1583,EastMachias River,EastMachias River,,EMAC,AEMME38,AEMME_038,EMAC_038,10EMAC_038,2010,212,212,234,226,261,257,203,203,230,230,243,235,161,161,266,250,249,249,209,209,219,215,14,
23,Palkovacs,1560,Alewife_1584,EastMachias River,EastMachias River,,EMAC,AEMME39,AEMME_039,EMAC_039,10EMAC_039,2010,220,212,238,226,261,257,215,203,230,230,243,231,165,161,266,266,249,249,209,209,219,215,15,
23,Palkovacs,1561,Alewife_1585,EastMachias River,EastMachias River,,EMAC,AEMME40,AEMME_040,EMAC_040,10EMAC_040,2010,220,220,234,230,257,257,203,203,230,230,243,235,153,153,266,250,249,245,225,209,223,203,15,
23,Palkovacs,1562,Alewife_1586,EastMachias River,EastMachias River,,EMAC,AEMME41,AEMME_041,EMAC_041,10EMAC_041,2010,212,212,234,226,257,257,211,203,230,230,231,223,161,153,266,266,249,245,221,209,219,215,15,
23,Palkovacs,1563,Alewife_1587,EastMachias River,EastMachias River,,EMAC,AEMME42,AEMME_042,EMAC_042,10EMAC_042,2010,,,,,,,211,211,230,230,247,247,165,161,266,266,253,245,209,209,219,219,10,
23,Palkovacs,1564,Alewife_1588,EastMachias River,EastMachias River,,EMAC,AEMME43,AEMME_043,EMAC_043,10EMAC_043,2010,220,212,234,230,261,257,211,211,230,230,243,223,165,161,266,266,245,241,225,209,223,211,15,
23,Palkovacs,1565,Alewife_1589,EastMachias River,EastMachias River,,EMAC,AEMME44,AEMME_044,EMAC_044,10EMAC_044,2010,212,212,234,234,257,257,211,203,230,230,243,243,165,165,266,266,245,233,221,209,223,219,14,
23,Palkovacs,1566,Alewife_1590,EastMachias River,EastMachias River,,EMAC,AEMME45,AEMME_045,EMAC_045,10EMAC_045,2010,220,220,226,226,261,257,211,203,230,230,247,243,165,161,266,266,245,241,209,209,219,219,14,
23,Palkovacs,1567,Alewife_1591,EastMachias River,EastMachias River,,EMAC,AEMME46,AEMME_046,EMAC_046,10EMAC_046,2010,220,220,,,261,257,,,230,230,247,243,,,,,245,245,,,,,6,
