Order,Sample ID,Date,Month,Season,Year,Species (field/lab),Species (genetics),Gear Type,Target Fishery,Station,Region,Latitude,Longitude,Aa046,,Ap010,,Ap033,,Ap047,,Aa082,,Ap071,,Aa070,,Aa093,,Ap070,,Aa091,,Aa074,,Ap037,,Ap038,
93,MEDMR064,2/8/2013,February,Winter,2013,,BBH,Midwater Otter Trawl,Atlantic Herring,,Unknown,,,228,228,233,229,205,201,214,214,196,184,215,215,254,254,237,225,190,178,249,245,236,234,315,311,226,226
96,MEDMR067,2/8/2013,February,Winter,2013,,BBH,Midwater Otter Trawl,Atlantic Herring,,Unknown,,,228,228,,,205,205,224,214,,,,,254,250,237,225,194,190,249,241,238,234,225,225,234,226
97,MEDMR068,2/8/2013,February,Winter,2013,,BBH,Midwater Otter Trawl,Atlantic Herring,,Unknown,,,232,228,,,205,197,,,,,247,211,,,237,233,,,249,245,234,234,311,311,230,226
101,MEDMR072,2/8/2013,February,Winter,2013,,BBH,Midwater Otter Trawl,Atlantic Herring,,Unknown,,,228,228,233,233,205,205,220,214,168,168,219,211,254,254,229,229,186,186,249,237,242,239,311,311,226,226
103,MEDMR074,2/8/2013,February,Winter,2013,,BBH,Midwater Otter Trawl,Atlantic Herring,,Unknown,,,232,228,,,205,201,220,214,,,223,219,254,250,,,190,178,249,249,242,234,311,311,226,226
107,MEDMR078,2/8/2013,February,Winter,2013,,BBH,Midwater Otter Trawl,Atlantic Herring,,Unknown,,,220,220,,,205,197,,,,,,,,,237,217,178,174,249,249,236,234,311,311,234,226
114,MEDMR085,2/8/2013,February,Winter,2013,,BBH,Midwater Otter Trawl,Atlantic Herring,,Unknown,,,228,228,233,233,209,205,,,168,168,219,211,,,237,225,,,,,230,230,311,311,226,226
121,MEDMR092,2/8/2013,February,Winter,2013,,BBH,Midwater Otter Trawl,Atlantic Herring,,Unknown,,,,,,,205,205,,,,,215,211,,,225,225,,,,,234,234,311,311,230,226
125,MEDMR096,2/8/2013,February,Winter,2013,,BBH,Midwater Otter Trawl,Atlantic Herring,,Unknown,,,228,224,,,205,205,,,,,223,223,,,225,217,,,249,204,230,230,311,311,226,226
129,MEDMR100,1/2/2013,January,Winter,2013,,BBH,Midwater Otter Trawl,Atlantic Herring,539,South New England 539,41.1667,71.5167,228,228,,,,,214,214,,,215,211,254,254,237,237,186,174,249,249,230,210,311,311,,
133,MEDMR104,1/2/2013,January,Winter,2013,,BBH,Midwater Otter Trawl,Atlantic Herring,539,South New England 539,41.1667,71.5167,236,232,,,217,217,,,,,215,215,,,233,225,186,186,249,245,230,230,315,307,226,226
173,MEDMR144,1/29/2013,January,Winter,2013,,BBH,Midwater Otter Trawl,Atlantic Herring,539,South New England 539,41.1833,71.2667,,,233,229,,,214,214,184,168,215,207,254,254,225,225,182,174,249,249,226,226,,,226,226
182,MEDMR153,1/29/2013,January,Winter,2013,,BBH,Midwater Otter Trawl,Atlantic Herring,539,South New England 539,41.1833,71.2667,230,228,233,233,209,205,224,214,204,168,215,215,254,250,229,225,194,178,249,245,236,234,311,311,226,226
193,MEDMR164,1/29/2013,January,Winter,2013,,BBH,Midwater Otter Trawl,Atlantic Herring,539,South New England 539,41.1833,71.2667,228,228,,,217,205,220,220,168,168,255,219,254,254,,,186,178,249,241,234,230,311,225,234,226
205,MEDMR176,2/6/2013,February,Winter,2013,,BBH,Midwater Otter Trawl,Atlantic Herring,539,South New England 539,41.0833,71.5,,,,,205,197,,,204,184,215,211,,,237,237,,,,,238,238,,,226,226
207,MEDMR178,2/6/2013,February,Winter,2013,,BBH,Midwater Otter Trawl,Atlantic Herring,539,South New England 539,41.0833,71.5,228,220,229,229,,,,,168,168,,,,,,,186,182,249,241,238,234,,,230,226
286,NEFOP0063,1/11/2012,January,Winter,2012,BBH,BBH,Bottom Otter Trawl,Pandalid Shrimp,513,Gulf of Maine,42.79,70.6,,,,,,,220,220,,,223,219,254,254,,,186,178,249,241,,,,,,
